1,sa%C4%9F+yan%C4%B1m,420,430,14355,8959,0
2,%5B0.3%5D,421,447,4897763,10179,0
3,%5B0.5%5D,421,451,4897763,10198,0
4,6-emre11,477,463,848901728,2927,0
5,007,556,414,5042742,10117,0
6,%7C+%2A+%7C+009+%7C+%C3%96t%C3%BCken,476,468,5501153,10947,0
7,%2A014+CESET,576,464,695831,9441,0
8,Fahristan,479,459,4877465,9658,0
9,008,501,526,848900943,10120,0
10,%5B2.2%5D,479,483,4897763,10180,0
11,013,422,440,1818490,10471,0
12,Barbar+23,480,483,22310,1200,0
13,VALHALA+020,521,449,4831027,8257,0
14,Barbar+16,483,481,22310,2975,0
16,38.,480,476,1380461,8166,0
17,HopeS,421,441,1744823,10042,0
18,030+%7C,421,446,4819886,2298,0
19,Tiran+ust,429,446,5505505,8075,0
20,014,432,438,1818490,10471,0
21,020,422,436,5494832,4990,0
22,0007-Sayko54,457,484,1474773,6142,0
23,076,478,401,22310,10454,0
24,FB+2,492,560,5559253,5849,0
25,A013+Batistuta,424,438,5056505,9917,0
26,006_Dabadaduba,501,502,1821977,8874,0
27,%2AOxygene%2A+-003-,519,493,5405545,10471,0
28,0008,496,502,4974309,10947,0
29,0025,527,478,5236059,9787,0
30,0008eminfyz,529,485,5236059,6178,0
31,40.46.26,504,508,848898320,10471,0
32,%2A%2A%2ANorthern+Lights%2A01,414,565,783952,9463,0
33,41.52.63,500,505,5407821,11089,0
34,00STALKER,539,492,1117649,9995,0
35,005+Caylak72,499,517,848881030,12130,0
36,%5B020%5D+Sefa+58,415,563,848893814,7563,0
38,%2Akapak02,494,610,5555642,7000,0
39,004+Mezzanine,557,581,848895347,7678,0
40,horozkentli,421,580,168708,8626,0
41,006-C,470,490,14815,4481,0
42,mutlu+y%C4%B1llar,565,491,1713283,10535,0
43,%7C+%2A+%7C+010+%7C+Kerem2357,478,482,5501153,10471,0
44,ince+memed,424,575,5304847,10471,0
45,Truvafatihi,572,451,4854547,9174,0
46,Aliya+%C4%B0zzet+003,582,456,1438200,10612,0
47,MYRMDN+DED%C4%B0K%21,580,462,5254318,7892,0
48,007,589,461,5528286,8867,0
49,004,459,479,5434792,7085,0
50,A+0003,404,476,5196506,10452,0
51,003+Tate+No+Yuusha+No+Narigari,397,479,5347854,9811,0
52,Stalker+Mode+On,504,512,783502,2867,0
53,Buca32,395,544,848882852,8619,0
54,%2A%2A%2AD002%2A%2A%2A,400,547,5424683,9383,0
55,SS-005,541,448,5347262,6871,0
58,016,404,552,5570297,6261,0
59,046,473,567,1503134,6695,0
61,008+Mystery,478,517,5570736,9564,0
62,%2A%2A%2A,475,521,5334738,8457,0
64,D-01+KIZIL,477,520,5358274,9133,0
65,002,579,522,5351599,9501,0
66,elle%C5%9Fme,479,515,503781,3167,0
67,Nuri+AL%C3%87O,480,511,5458900,4425,0
68,ulku45+k%C3%B6y%C3%BC,479,506,5462004,2145,0
69,emraah45+k%C3%B6y%C3%BC,484,512,5461393,2391,0
70,%2AOxygene%2A+-005-,519,513,5405545,10471,0
71,04+-+BANDIERA+ROSSA,470,514,5185274,9224,0
72,001,476,523,5407821,9902,0
73,42.92.03,477,521,1782633,8483,0
74,ll61ll+Zivzika+007,481,519,5444307,10292,0
75,KAS%C4%B0RGA+01,478,526,5386260,7749,0
76,KARGULU010-S%C3%9C,475,502,848901165,8134,0
77,004,486,513,848900943,10445,0
